Entity,Relation,Target
Sculptra,has_adverse_effect,"blinded, multicenter study to evaluate the safety and effectiveness of Sculptra Aesthetic reconstituted"
Sculptra,has_adverse_effect,"treatment events in the treated area, i.e. bruising, redness, swelling, pain, tenderness, itching,"
Sculptra,has_adverse_effect,"21.3% (20/94) of females experienced a related adverse event, while no male subjects (0/5) had a"
Sculptra,has_adverse_effect,"related adverse event. Due to the small number of male subjects, conclusions cannot be drawn."
Sculptra,has_adverse_effect,"One (1.0%) subject in the treatment group experienced an adverse event of special interest (AESI),"
Sculptra,has_adverse_effect,"product or injection procedure, mild in intensity. The duration of the event was 37 days and was"
Sculptra,has_adverse_effect,RELATED ADVERSE EVENTS BY PREFERRED TERM (SAFETY POPULATION)
Sculptra,has_adverse_effect,Subjects with at least 1 related adverse event
Sculptra,has_adverse_effect,"One subject experienced 2 events of skin mass on Day 49, 9 days after the most recent injection; reported terms were"
Sculptra,has_adverse_effect,calculated as 100 × (n/N). Subjects reporting more than 1 event in a category were counted only once in that
Sculptra,has_adverse_effect,category (n). Events were coded by Medical Dictionary for Regulatory Activities version 23.1.
Sculptra,has_adverse_effect,"The frequency, intensity and duration of pre-defined events reported by the subject in the daily diary"
Sculptra,has_adverse_effect,FREQUENCY AND INTENSITY OF PRE-DEFINED EVENTS
Sculptra,has_adverse_effect,symptom). Subjects reporting multiple events of the same symptom are counted once for that event within the most
Sculptra,has_adverse_effect,FREQUENCY AND DURATION OF PRE-DEFINED EVENTS
Sculptra,has_adverse_effect,"continued safety and effectiveness evaluations up to 24 months. A total of 111 subjects (39 Group A,"
Sculptra,has_adverse_effect,same effectiveness assessments as during the base study.
Sculptra,has_adverse_effect,RELATED ADVERSE EVENTS BY PREFERRED TERM (EXTENSION POPULATION)
Sculptra,has_adverse_effect,Subjects with at least 1 related adverse event
Sculptra,has_adverse_effect,calculated as 100 × (n/N). Subjects reporting more than 1 event in a category were counted only once in that category
Sculptra,has_adverse_effect,(n). Events were coded by Medical Dictionary for Regulatory Activities version 23.1. Group A subjects were untreated
Sculptra,has_adverse_effect,Subjects reporting multiple events of the same symptom were counted only once for that event within the most severe
Sculptra,has_adverse_effect,The adverse events received from post-marketing surveillance (voluntary reporting and published
Sculptra,has_adverse_effect,"• lack of effect,"
Sculptra,has_adverse_effect,"• granuloma/foreign body reaction,"
Sculptra,has_adverse_effect,"• inflammation, injection site reactions including burning sensation, discomfort, exfoliation,"
Sculptra,has_adverse_effect,"• skin discoloration, hypersensitivity/allergic reaction and angioedema,"
Sculptra,has_adverse_effect,"• other dermatological events including localized alopecia, skin dryness, skin tightness, skin"
Sculptra,has_adverse_effect,"wrinkling, skin hypertrophy and photosensitive reaction,"
Sculptra,has_adverse_effect,"non-dermatological events including anxiety, arthralgia, depression, diplopia, dizziness, dyspnea,"
Sculptra,has_adverse_effect,"When required, depending on event, treatments may include massage/manipulation, warm compress,"
Sculptra,has_adverse_effect,"product, saline injections and surgery. Events which did not resolve or where resolution information"
Sculptra,has_adverse_effect,"Scarring, mostly a non-serious event, was reported in association with skin discoloration, nodules,"
Sculptra,has_adverse_effect,"Skin discoloration was reported as a non-serious event, typically reported in association with lumps"
Sculptra,has_adverse_effect,SAEs have rarely been reported. The most commonly reported serious adverse events for Sculptra
Sculptra,has_adverse_effect,"with more than 5 reported events include papule/nodules, swelling/edema, granuloma, symptoms of"
Sculptra,has_adverse_effect,"paralysis, ischemia/necrosis, inflammation. Other concurrent events included pain,"
Sculptra,has_adverse_effect,"post-injection. While events were reported as granuloma, only a few cases were confirmed by"
Sculptra,has_adverse_effect,vessels affected; or rarely as ischemic events in other organs due to embolization. Isolated rare cases
Sculptra,has_adverse_effect,"of ischemic events affecting the eye leading to visual loss, and the brain resulting in cerebral"
Sculptra,has_adverse_effect,"and/or cheek. Events requiring medical intervention, and events which did not resolve or where"
Sculptra,has_adverse_effect,and/or anti-inflammatories. Events usually resolved within 7-10 days post-injection without sequelae
Sculptra,has_adverse_effect,Serious hypersensitivity reactions were reported mainly in association with facial swelling and
Sculptra,has_adverse_effect,"Staphylococcus aureus at the injection site, were reported. Time to onset of events mostly ranged"
Sculptra,has_adverse_effect,adverse events associated with dermal fillers. Cases of delayed-onset inflammation have been
Sculptra,has_adverse_effect,"Adverse reactions should be reported to Galderma Laboratories, L.P. at 1-855-425-8722."
Sculptra,has_adverse_effect,The safety and effectiveness of Sculptra Aesthetic use to correct WAS 2 (shallow) to 4 (deep)
Sculptra,has_adverse_effect,Secondary effectiveness endpoints were: 1) Mean change from pre-treatment baseline in the WAS as
Sculptra,has_adverse_effect,All secondary effectiveness endpoints described above were evaluated for the long- term extension
Sculptra,has_adverse_effect,E. Effectiveness results
Sculptra,has_adverse_effect,Primary Effectiveness Endpoint
Sculptra,has_adverse_effect,"granulomas, skin necrosis, hypersensitivity, and other injection site reactions) in"
Sculptra,has_adverse_effect,F. Effectiveness Findings
Sculptra,has_adverse_effect,areas with a long-lasting treatment effect of Sculptra Aesthetic treatment. In all four anatomic
Sculptra,has_adverse_effect,the safety and effectiveness of Sculptra Aesthetic for correction of nasolabial fold contour
Sculptra,has_adverse_effect,Primary effectiveness endpoint
Sculptra,has_adverse_effect,Secondary effectiveness endpoints
Sculptra,has_adverse_effect,"Secondary effectiveness endpoints included Global Aesthetic Improvement Scale (GAIS),"
Sculptra,has_adverse_effect,All effectiveness endpoints described above were evaluated for the long- term extension study time
Sculptra,has_adverse_effect,E. Effectiveness results
Sculptra,has_adverse_effect,The Week 48 change from baseline in WAS demonstrated comparable treatment effect in reducing
Sculptra,has_adverse_effect,effectiveness analysis were met as shown in Table 21 and Figure 2.
Sculptra,has_adverse_effect,"0.6, 0.5). Thus, both intervals include 0 and comparable treatment effect between the two groups has"
Sculptra,has_adverse_effect,"At Week 48, Sculptra Aesthetic reconstituted in 8 mL SWFI (+1 mL of lidocaine), effectively"
Sculptra,has_adverse_effect,"The effectiveness of Sculptra Aesthetic, reconstituted with 8 mL SWFI + 1 mL of 2% lidocaine"
Sculptra,has_adverse_effect,the effectiveness and safety of treatment with Sculptra Aesthetic for correction of cheek wrinkles.
Sculptra,has_adverse_effect,"A), and treatment group subjects (Group B) returned for continued safety and effectiveness"
Sculptra,has_adverse_effect,The primary purpose was to evaluate the safety of Sculptra Aesthetic and effectiveness of Sculptra
Sculptra,has_adverse_effect,Primary effectiveness endpoint
Sculptra,has_adverse_effect,Secondary effectiveness endpoints
Sculptra,has_adverse_effect,"Secondary effectiveness endpoints included GAIS, subject satisfaction and responder rate on both"
Sculptra,has_adverse_effect,Effectiveness endpoints evaluated for the long-term extension included responder rate on both sides
Sculptra,has_adverse_effect,E. Effectiveness results
Sculptra,has_adverse_effect,"The primary effectiveness endpoint was the responder rate based on the GCWS At Rest, as assessed"
Sculptra,has_adverse_effect,diary that reported related adverse events associated with social circumstances or social avoidant
Sculptra,has_adverse_effect,GCWS data showed that the effects of Sculptra treatments were maintained through 24 months as
Sculptra,has_contraindication,"IF THE VIAL, SEAL, OR THE FLIP-OFF CAP ARE DAMAGED, DO NOT USE AND"
Sculptra,has_adverse_effect,"anatomy of the treatment area, effective patient assessment, and appropriate injection techniques."
Sculptra,has_contraindication,"antiseptic. If the vial, seal, or flip-off cap is damaged, do not use, and call Galderma"
Sculptra,has_contraindication,lower lateral of the vial to avoid withdrawing foam. Do not store the reconstituted product in the
Sculptra,has_contraindication,"antiseptic. If the vial, seal, or flip-off cap is damaged, do not use, and call Galderma Laboratories,"
Sculptra,has_contraindication,lower lateral of the vial to avoid withdrawing foam. Do not store the reconstituted product in the
Sculptra,has_contraindication,"The patient should be fully apprised of the indications, contraindications, warnings,"
Sculptra,has_adverse_effect,"precautions, treatment responses, adverse reactions, and method of administration with Sculptra."
Sculptra,has_adverse_effect,"• For patients who have experienced medically important adverse events, a decision for"
Sculptra,has_adverse_effect,touchup or re-treatment should take the cause and severity of previous reactions into
Sculptra,has_adverse_effect,time (several weeks) after injection as the treatment effect of Sculptra occurs.
Sculptra,has_adverse_effect,area over several weeks as the treatment effects occur.
Sculptra,has_contraindication,"Before injecting Sculptra, always perform a reflux maneuver to avoid intravascular injection. If"
Sculptra,has_adverse_effect,Health care practitioners are encouraged to be prepared with the following in the event of an
Sculptra,has_adverse_effect,event of an ophthalmic adverse event related to a dermal filler injection
Sculptra,has_adverse_effect,• conducting a basic neurologic examination in the event of an ophthalmic adverse event due to
Sculptra,has_adverse_effect,the association of such events with central nervous system deficits
Sculptra,has_adverse_effect,"2 Jones, Derek; Fitzgerald, Rebecca; Cox, Sue Ellen; et al. Preventing and Treating Adverse Events of Injectable Fillers:"
Sculptra,has_contraindication,spaced at a distance of 0.5 -1 cm. Avoid overcorrection.
Sculptra,has_adverse_effect,of the contour deficiency as the Sculptra effect occurs over the minimum of 3-4 weeks between
Sculptra,has_contraindication,wrapped in cloth (avoid any direct contact of the ice with the skin) is applied to the treated
Sculptra,has_adverse_effect,areas. See ADVERSE EVENTS for details of the incidence and severity of adverse event
Sculptra,has_contraindication,"avoiding superficial injections or over-correction). In addition, massaging the treatment area"
Sculptra,has_contraindication,"• Within the first 24 hours, an ice pack wrapped in cloth (avoiding any direct contact of the ice"
Sculptra,has_adverse_effect,gradually improve within several weeks as the treatment effect of Sculptra occurs. The
Sculptra,has_adverse_effect,"skin, have been reported. Patients should report these events and any other side effects to"
Sculptra,has_contraindication,be avoided until any initial swelling and redness has resolved. Patients should be informed
Sculptra,has_adverse_effect,"ANY SIDE EFFECTS, ADVERSE EVENTS, PRODUCT QUESTIONS OR PRODUCT"
Sculptra,has_contraindication,CONTRAINDICATIONS
Sculptra,has_adverse_effect,treatment effect of Sculptra occurs (see INSTRUCTION FOR USE – Patient Treatment).
Sculptra,has_adverse_effect,product slowly and apply the least amount of pressure necessary. Rare but serious adverse
Sculptra,has_adverse_effect,events (SAEs) associated with the intravascular injection of soft tissue fillers in the face have
Sculptra,has_adverse_effect,Sculptra post-treatment reactions have included delayed occurrence of subcutaneous papules
Sculptra,has_adverse_effect,had a prolonged time course to resolution. See ADVERSE EVENTS section for details.
Sculptra,has_adverse_effect,granulomatous reaction characterized by foreign body giant cells and macrophages. The tissue
Sculptra,has_adverse_effect,"reaction was confined to the area between particles, did not involve the surrounding tissue and"
Sculptra,has_contraindication,Sculptra vials are for single patient and single session use only in order to avoid contamination.
Sculptra,has_contraindication,Do not reuse the vial and do not re-sterilize the vial. Discard immediately after use. Do not use
Sculptra,has_adverse_effect,"The safety and effectiveness of injecting Sculptra: 1) in larger amounts, 2) at different"
Sculptra,has_adverse_effect,effectiveness of Sculptra for correction of facial fat loss (lipoatrophy) in people with human
Sculptra,has_adverse_effect,The safety and effectiveness of Sculptra for use in the lips has not been evaluated. Sculptra
Sculptra,has_adverse_effect,Avoid superficial injections as this may be associated with increased local adverse events
Sculptra,has_adverse_effect,"Safety and effectiveness of Sculptra has not been evaluated in patients who are pregnant,"
Sculptra,has_adverse_effect,Safety and effectiveness of Sculptra has not been evaluated in patients with the following:
Sculptra,has_adverse_effect,Safety and effectiveness of Sculptra has not been systematically evaluated with other drugs
Sculptra,has_adverse_effect,practice to prevent cross-infections are to be followed.
Sculptra,has_contraindication,to sun and avoid UV lamp exposure and extreme temperatures until any initial swelling and
Sculptra,has_adverse_effect,reaction at the implant site. This also applies if Sculptra is administered before the skin has
Sculptra,has_adverse_effect,ADVERSE EVENTS
Sculptra,has_adverse_effect,"Adverse event data from five clinical studies that included 567 patients are summarized in Tables 36,"
Sculptra,has_adverse_effect,NUMBER OF PATIENTS WITH TREATMENT-RELATED ADVERSE EVENTS
Sculptra,has_adverse_effect,ADVERSE EVENTS
Sculptra,has_adverse_effect,DEVICE-RELATED ADVERSE EVENTS
Sculptra,has_adverse_effect,NUMBER OF PATIENTS WITH TREATMENT-RELATED ADVERSE EVENTS
Sculptra,has_adverse_effect,INJECTION PROCEDURE RELATED ADVERSE
Sculptra,has_adverse_effect,EVENTS
Sculptra,has_adverse_effect,DEVICE-RELATED ADVERSE EVENTS
Sculptra,has_adverse_effect,The duration of (AEs) in Table 37 was not collected. The most common device related effect was the
Sculptra,has_adverse_effect,OVERALL INCIDENCE (≥ 5%) OF ADVERSE EVENTS BY
Sculptra,has_adverse_effect,a. Subjects experiencing multiple episodes of a given adverse event are counted once within each Preferred Term.
Sculptra,has_adverse_effect,"SUMMARY OF TREATMENT-EMERGENT ADVERSE EVENTS ‘FACES’ (5 YEAR,"
Sculptra,has_adverse_effect,site nodule or papule AEs. Most nodule and papule events were mild or moderate in intensity
Sculptra,has_adverse_effect,reported during the first year (153 of 170 events [90%]); the median number of days from first
Sculptra,has_adverse_effect,"study. Of the remaining events reported as resolved, the median duration for injection site"
Sculptra,has_adverse_effect,The adverse events received from post-marketing surveillance (voluntary reporting and published
Sculptra,has_adverse_effect,• device ineffective
Sculptra,has_adverse_effect,"• granuloma /foreign body reaction,"
Sculptra,has_adverse_effect,"• injection site reactions including burning sensation, discomfort, exfoliation, irritation and warmth"
Sculptra,has_adverse_effect,"• hypersensitivity/allergic reaction and angioedema,"
Sculptra,has_adverse_effect,"• other dermatological events including alopecia, skin dryness, skin tightness, skin wrinkling, , skin"
Sculptra,has_adverse_effect,"hypertrophy and photosensitive reaction,"
Sculptra,has_adverse_effect,"• non dermatological events including anxiety, arthralgia, depression, diplopia, dizziness, dyspnea,"
Sculptra,has_adverse_effect,"When required, depending on event, treatments may include massage/manipulation, warm compress,"
Sculptra,has_adverse_effect,"product, saline injections and surgery. Events which did not resolve or where resolution information"
Sculptra,has_adverse_effect,"Scarring, mostly a non-serious event, was reported in association with skin discoloration, nodules,"
Sculptra,has_adverse_effect,"Skin discoloration was reported as a non-serious event, typically reported in association with lumps"
Sculptra,has_adverse_effect,"reported events include papule/nodule, swelling/edema, granuloma, symptoms of visual disturbance,"
Sculptra,has_adverse_effect,"ischemia/necrosis, inflammation. Other concurrent events included pain, bruising/hematoma,"
Sculptra,has_adverse_effect,"post-injection. While events were reported as granuloma, only a few cases were confirmed by"
Sculptra,has_adverse_effect,vessels affected; or rarely as ischemic events in other organs due to embolization. Isolated rare cases
Sculptra,has_adverse_effect,"of ischemic events affecting the eye leading to visual loss, and the brain resulting in cerebral"
Sculptra,has_adverse_effect,"and/or cheek. Events requiring medical intervention, and events which did not resolve or where"
Sculptra,has_adverse_effect,and/or anti-inflammatories. Events resolved within 7-10 days post-injection without sequelae and
Sculptra,has_adverse_effect,Serious hypersensitivity reactions were reported mainly in association with facial swelling and
Sculptra,has_adverse_effect,"Staphylococcus aureus at the injection site, were reported. Time to onset of event mostly ranged"
Sculptra,has_adverse_effect,adverse events associated with dermal fillers. Cases of delayed-onset inflammation have been
Sculptra,has_adverse_effect,"Adverse reactions should be reported to Galderma Laboratories, L.P. at 1-855-425-8722."
Sculptra,has_adverse_effect,EFFECTIVENESS
Sculptra,has_adverse_effect,"This was a 96-week, open-label, uncontrolled, single-center study to determine the treatment effects"
Sculptra,has_adverse_effect,to maintain an optimal treatment effect.
Sculptra,has_adverse_effect,with the sessions separated by four weeks. Full effects of the treatment course are evident within
Sculptra,has_adverse_effect,injection sessions may be required to maintain an optimal treatment effect.
Sculptra,has_contraindication,"IF THE VIAL, SEAL, OR THE FLIP-OFF CAP ARE DAMAGED, DO NOT USE AND"
Sculptra,has_contraindication,"antiseptic. If the vial, seal, or flip-off cap is damaged, do not use, and call Galderma"
Sculptra,has_contraindication,horizontally and withdraw suspension from the lower lateral of the vial to avoid withdrawing
Sculptra,has_contraindication,"The patient should be fully apprised of the indications, contraindications, warnings,"
Sculptra,has_adverse_effect,"precautions, treatment responses, adverse reactions, and method of administration with Sculptra."
Sculptra,has_adverse_effect,"• For patients who have experienced medically important adverse events, a decision for"
Sculptra,has_adverse_effect,touchup or re-treatment should take the cause and severity of previous reactions into
Sculptra,has_adverse_effect,time (several weeks) after injection as the treatment effect of Sculptra occurs.
Sculptra,has_adverse_effect,area over several weeks as the treatment effects occur.
Sculptra,has_contraindication,"Before injecting Sculptra, always perform a reflux maneuver to avoid intravascular injection. If"
Sculptra,has_adverse_effect,Health care practitioners are encouraged to be prepared with the following in the event of an
Sculptra,has_adverse_effect,"3 Jones, Derek; Fitzgerald, Rebecca; Cox, Sue Ellen; et al. Preventing and Treating Adverse Events of Injectable Fillers:"
Sculptra,has_adverse_effect,event of an ophthalmic adverse event related to a dermal filler injection
Sculptra,has_adverse_effect,• conducting a basic neurologic examination in the event of an ophthalmic adverse event due to
Sculptra,has_adverse_effect,the association of such events with central nervous system deficits
Sculptra,has_contraindication,"avoid deposition in the superficial skin, deposition should be stopped before the needle bevel"
Sculptra,has_contraindication,spaced at a distance of 0.5 -1 cm. Avoid overcorrection.
Sculptra,has_adverse_effect,of the contour deficiency as the Sculptra effect occurs over the minimum of four weeks between
Sculptra,has_contraindication,wrapped in cloth (avoid any direct contact of the ice with the skin) is applied to the treated
Sculptra,has_adverse_effect,areas. See ADVERSE EVENTS for details of the incidence and severity of AE observed
Sculptra,has_contraindication,"avoiding superficial injections or over-correction). In addition, massaging the treatment area"
Sculptra,has_contraindication,"• Within the first 24 hours, an ice pack wrapped in cloth (avoiding any direct contact of the ice"
Sculptra,has_adverse_effect,gradually improve within several weeks as the treatment effect of Sculptra occurs. The health
Sculptra,has_adverse_effect,"skin, have been reported. Patients should report these events and any other side effects to"
Sculptra,has_contraindication,be avoided until any initial swelling and redness has resolved. Patients should be informed
Sculptra,has_adverse_effect,"ANY SIDE EFFECTS, ADVERSE EVENTS, PRODUCT QUESTIONS OR PRODUCT"
Ifu%20sculptra%20,has_ingredient,COMPOSITION OF SCULPTRA
Ifu%20sculptra%20,has_adverse_effect,"Because the treatment effects for SCULPTRA appear gradually over a few weeks, for the first"
Ifu%20sculptra%20,has_contraindication,CONTRAINDICATIONS
Ifu%20sculptra%20,has_contraindication,Do not use in patients with a history of hypersensitivity to any of the components of the
Ifu%20sculptra%20,has_contraindication,Do not use reconstituted SCULPTRA product supplemented with lidocaine in patients
Ifu%20sculptra%20,has_contraindication,Do not use in patients with severe allergies manifested by a history of anaphylaxis or
Ifu%20sculptra%20,has_contraindication,"Do not use when there is active disease, such as inflammation (skin eruption such as cysts,"
Ifu%20sculptra%20,has_contraindication,• Special care should be taken to avoid injection into the blood vessels. Introduction of
Ifu%20sculptra%20,has_adverse_effect,• Rare but serious adverse events associated with the intravascular injection of soft tissue
Ifu%20sculptra%20,has_adverse_effect,gradually improve within several weeks as the treatment effect of SCULPTRA occurs. If
Ifu%20sculptra%20,has_contraindication,• SCULPTRA vials are for single patient and single session use only in order to avoid
Ifu%20sculptra%20,has_contraindication,after use. Do not use if package or vial is opened or damaged.
Ifu%20sculptra%20,has_adverse_effect,Aseptic technique and standard practice to prevent cross-infections are to be followed.
Ifu%20sculptra%20,has_adverse_effect,palpable lumps. (see section “ADVERSE REACTIONS”). Refer to the
Ifu%20sculptra%20,has_contraindication,"• The patient should avoid excessive sun, UV lamp exposure and extreme temperatures"
Ifu%20sculptra%20,has_adverse_effect,eliciting an inflammatory reaction at the implant site. This also applies if SCULPTRA is
Ifu%20sculptra%20,has_adverse_effect,"• Consider safety risks associated with the use of lidocaine, including possible toxic effects"
Ifu%20sculptra%20,has_adverse_effect,ADVERSE REACTIONS
Ifu%20sculptra%20,has_adverse_effect,Anticipated injection-related reactions
Ifu%20sculptra%20,has_adverse_effect,"The anticipated injection related reactions include transient bleeding from the needle stick,"
Ifu%20sculptra%20,has_adverse_effect,The following post marketing adverse events have been reported from worldwide sources
Ifu%20sculptra%20,has_adverse_effect,Papules/nodules; Swelling/oedema; Mass/induration; Device ineffective; Pain/tenderness;
Ifu%20sculptra%20,has_adverse_effect,Erythema; Granuloma/foreign body reaction; Bruising/bleeding; Inflammation; Eye disorders
Ifu%20sculptra%20,has_adverse_effect,"acuity; Other injection site reactions and skin reactions including burning sensation, dryness,"
Ifu%20sculptra%20,has_adverse_effect,"Other dermatological events including localised alopecia, skin tightness and skin wrinkling;"
Ifu%20sculptra%20,has_adverse_effect,"Non-dermatological events including anxiety, arthralgia, chills, depression, diarrhoea,"
Ifu%20sculptra%20,has_adverse_effect,supplied by the blood vessels affected; or rarely as ischemic events in other organs due to
Ifu%20sculptra%20,has_adverse_effect,embolisation. Rare but serious cases of ischemic events associated with temporary or
Ifu%20sculptra%20,has_adverse_effect,"For patients who have experienced clinically significant reactions, a decision for retreatment"
Ifu%20sculptra%20,has_adverse_effect,should take into consideration the cause and significance of previous reactions.
Ifu%20sculptra%20,has_adverse_effect,ANY SIDE EFFECTS OR PRODUCT COMPLAINTS SHOULD BE NOTIFIED TO
Ifu%20sculptra%20,has_contraindication,"an antiseptic. If the vial, seal, or flip-off cap are damaged, do not use, and call Galderma"
Ifu%20sculptra%20,has_contraindication,The reconstituted product must be injected within 72 hours of reconstitution. If not used
Ifu%20sculptra%20,has_contraindication,the lower lateral of the vial to avoid withdrawing foam. Do not store the reconstituted
Ifu%20sculptra%20,has_contraindication,"informed completely of the indications, contraindications, warnings, precautions for"
Ifu%20sculptra%20,has_adverse_effect,"use, possible side effects and mode of administration of SCULPTRA. Each patient"
Ifu%20sculptra%20,has_adverse_effect,removed and the treatment area gently massaged. In the event that the blanching does
Ifu%20sculptra%20,has_contraindication,"To avoid deposition in the superficial skin, deposition should be stopped before the"
Ifu%20sculptra%20,has_contraindication,Avoid overcorrection.
Ifu%20sculptra%20,has_adverse_effect,area over several weeks as the treatment effect occurs. Additional sessions may be
